,Ancho_cm,Alto_cm,Espesor_cm,Distancia_cm,BeamOn,Actividad_Ci,Neutrones,Gammas,Electrones,N_termicos,N_epitermicos,N_rapidos,Frac_termica_%,Efic_deteccion_%,Tasa_n_det_ps,Tasa_term_ps,Area_frontal_cm2,Cara_cuadrada
0,10.0,10.0,10.0,0,100000,2.98,277,263,10,19,97,161,0.019,0.277,18160.12,3.45,100.0,True
1,10.0,10.0,11.0,0,100000,2.98,233,218,6,19,96,118,0.019,0.233,15275.48,2.9,100.0,True
2,10.0,10.0,12.0,0,100000,2.98,178,171,6,19,64,95,0.019,0.178,11669.68,2.22,100.0,True
3,10.0,10.0,13.0,0,100000,2.98,120,152,5,12,34,74,0.012,0.12,7867.2,0.94,100.0,True
4,10.0,10.0,14.0,0,100000,2.98,110,121,0,18,36,56,0.018,0.11,7211.6,1.3,100.0,True
5,10.0,10.0,15.0,0,100000,2.98,75,86,4,9,27,39,0.009,0.075,4917.0,0.44,100.0,True
6,10.0,10.0,16.0,0,100000,2.98,64,73,2,7,23,34,0.007,0.064,4195.84,0.29,100.0,True
7,10.0,10.0,17.0,0,100000,2.98,37,75,2,8,12,17,0.008,0.037,2425.72,0.19,100.0,True
8,10.0,10.0,18.0,0,100000,2.98,38,71,1,7,14,17,0.007,0.038,2491.28,0.17,100.0,True
9,10.0,10.0,19.0,0,100000,2.98,22,63,1,0,6,16,0.0,0.022,1442.32,0.0,100.0,True
10,10.0,10.0,1.0,0,100000,2.98,17604,10772,305,1,925,16678,0.001,17.604,1154118.24,11.54,100.0,True
11,10.0,10.0,20.0,0,100000,2.98,15,55,3,2,8,5,0.002,0.015,983.4,0.02,100.0,True
12,10.0,10.0,2.0,0,100000,2.98,7173,4571,136,10,740,6423,0.01,7.173,470261.88,47.03,100.0,True
13,10.0,10.0,3.0,0,100000,2.98,3701,2342,61,17,576,3108,0.017,3.701,242637.56,41.25,100.0,True
14,10.0,10.0,4.0,0,100000,2.98,2253,1402,47,31,470,1752,0.031,2.253,147706.68,45.79,100.0,True
15,10.0,10.0,5.0,0,100000,2.98,1394,968,25,32,332,1030,0.032,1.394,91390.64,29.25,100.0,True
16,10.0,10.0,6.0,0,100000,2.98,995,682,16,40,278,677,0.04,0.995,65232.2,26.09,100.0,True
17,10.0,10.0,7.0,0,100000,2.98,702,527,12,48,201,453,0.048,0.702,46023.12,22.09,100.0,True
18,10.0,10.0,8.0,0,100000,2.98,489,405,9,32,162,295,0.032,0.489,32058.84,10.26,100.0,True
19,10.0,10.0,9.0,0,100000,2.98,345,310,9,28,117,200,0.028,0.345,22618.2,6.33,100.0,True
20,10.0,11.0,10.0,0,100000,2.98,320,259,6,34,103,183,0.034,0.32,20979.2,7.13,110.0,False
21,10.0,11.0,11.0,0,100000,2.98,238,199,8,26,82,130,0.026,0.238,15603.28,4.06,110.0,False
22,10.0,11.0,12.0,0,100000,2.98,204,174,8,22,72,110,0.022,0.204,13374.24,2.94,110.0,False
23,10.0,11.0,13.0,0,100000,2.98,118,143,3,16,44,58,0.016,0.118,7736.08,1.24,110.0,False
24,10.0,11.0,14.0,0,100000,2.98,104,134,1,18,39,47,0.018,0.104,6818.24,1.23,110.0,False
25,10.0,11.0,15.0,0,100000,2.98,85,100,3,18,21,46,0.018,0.085,5572.6,1.0,110.0,False
26,10.0,11.0,16.0,0,100000,2.98,55,85,8,9,25,21,0.009,0.055,3605.8,0.32,110.0,False
27,10.0,11.0,17.0,0,100000,2.98,41,88,2,5,12,24,0.005,0.041,2687.96,0.13,110.0,False
28,10.0,11.0,18.0,0,100000,2.98,38,72,0,6,13,19,0.006,0.038,2491.28,0.15,110.0,False
29,10.0,11.0,19.0,0,100000,2.98,29,59,1,6,5,18,0.006,0.029,1901.24,0.11,110.0,False
30,10.0,11.0,1.0,0,100000,2.98,17438,10618,288,2,887,16549,0.002,17.438,1143235.28,22.86,110.0,False
31,10.0,11.0,20.0,0,100000,2.98,22,60,1,1,10,11,0.001,0.022,1442.32,0.01,110.0,False
32,10.0,11.0,2.0,0,100000,2.98,7295,4593,134,10,726,6559,0.01,7.295,478260.2,47.83,110.0,False
33,10.0,11.0,3.0,0,100000,2.98,3737,2435,65,21,586,3130,0.021,3.737,244997.72,51.45,110.0,False
34,10.0,11.0,4.0,0,100000,2.98,2217,1384,43,27,435,1755,0.027,2.217,145346.52,39.24,110.0,False
35,10.0,11.0,5.0,0,100000,2.98,1488,976,32,36,344,1108,0.036,1.488,97553.28,35.12,110.0,False
36,10.0,11.0,6.0,0,100000,2.98,941,664,25,50,252,639,0.05,0.941,61691.96,30.85,110.0,False
37,10.0,11.0,7.0,0,100000,2.98,689,510,17,43,216,430,0.043,0.689,45170.84,19.42,110.0,False
38,10.0,11.0,8.0,0,100000,2.98,556,394,13,37,172,347,0.037,0.556,36451.36,13.49,110.0,False
39,10.0,11.0,9.0,0,100000,2.98,375,303,11,28,113,234,0.028,0.375,24585.0,6.88,110.0,False
40,10.0,12.0,10.0,0,100000,2.98,298,257,5,37,111,150,0.037,0.298,19536.88,7.23,120.0,False
41,10.0,12.0,11.0,0,100000,2.98,221,209,5,27,78,116,0.027,0.221,14488.76,3.91,120.0,False
42,10.0,12.0,12.0,0,100000,2.98,195,209,6,16,79,100,0.016,0.195,12784.2,2.05,120.0,False
43,10.0,12.0,13.0,0,100000,2.98,129,153,4,13,54,62,0.013,0.129,8457.24,1.1,120.0,False
44,10.0,12.0,14.0,0,100000,2.98,109,162,5,14,47,48,0.014,0.109,7146.04,1.0,120.0,False
45,10.0,12.0,15.0,0,100000,2.98,72,106,0,8,25,39,0.008,0.072,4720.32,0.38,120.0,False
46,10.0,12.0,16.0,0,100000,2.98,78,99,1,19,27,32,0.019,0.078,5113.68,0.97,120.0,False
47,10.0,12.0,17.0,0,100000,2.98,53,75,2,8,21,24,0.008,0.053,3474.68,0.28,120.0,False
48,10.0,12.0,18.0,0,100000,2.98,28,73,1,7,3,18,0.007,0.028,1835.68,0.13,120.0,False
49,10.0,12.0,19.0,0,100000,2.98,20,73,0,2,4,14,0.002,0.02,1311.2,0.03,120.0,False
50,10.0,12.0,1.0,0,100000,2.98,17704,10681,313,0,880,16824,0.0,17.704,1160674.24,0.0,120.0,False
51,10.0,12.0,20.0,0,100000,2.98,16,57,5,2,6,8,0.002,0.016,1048.96,0.02,120.0,False
52,10.0,12.0,2.0,0,100000,2.98,7126,4511,141,6,711,6409,0.006,7.126,467180.56,28.03,120.0,False
53,10.0,12.0,3.0,0,100000,2.98,3821,2358,63,24,605,3192,0.024,3.821,250504.76,60.12,120.0,False
54,10.0,12.0,4.0,0,100000,2.98,2181,1420,37,31,433,1717,0.031,2.181,142986.36,44.33,120.0,False
55,10.0,12.0,5.0,0,100000,2.98,1473,1002,24,43,367,1063,0.043,1.473,96569.88,41.53,120.0,False
56,10.0,12.0,6.0,0,100000,2.98,984,670,23,36,277,671,0.036,0.984,64511.04,23.22,120.0,False
57,10.0,12.0,7.0,0,100000,2.98,703,456,11,34,225,444,0.034,0.703,46088.68,15.67,120.0,False
58,10.0,12.0,8.0,0,100000,2.98,485,382,8,33,163,289,0.033,0.485,31796.6,10.49,120.0,False
59,10.0,12.0,9.0,0,100000,2.98,420,340,6,31,152,237,0.031,0.42,27535.2,8.54,120.0,False
60,10.0,13.0,10.0,0,100000,2.98,297,234,3,35,106,156,0.035,0.297,19471.32,6.81,130.0,False
61,10.0,13.0,11.0,0,100000,2.98,243,211,6,18,94,131,0.018,0.243,15931.08,2.87,130.0,False
62,10.0,13.0,12.0,0,100000,2.98,184,177,2,29,60,95,0.029,0.184,12063.04,3.5,130.0,False
63,10.0,13.0,13.0,0,100000,2.98,135,162,4,26,34,75,0.026,0.135,8850.6,2.3,130.0,False
64,10.0,13.0,14.0,0,100000,2.98,106,144,4,9,44,53,0.009,0.106,6949.36,0.63,130.0,False
65,10.0,13.0,15.0,0,100000,2.98,83,130,1,14,32,37,0.014,0.083,5441.48,0.76,130.0,False
66,10.0,13.0,16.0,0,100000,2.98,62,103,3,7,17,38,0.007,0.062,4064.72,0.28,130.0,False
67,10.0,13.0,17.0,0,100000,2.98,45,80,2,8,17,20,0.008,0.045,2950.2,0.24,130.0,False
68,10.0,13.0,18.0,0,100000,2.98,47,68,2,6,13,28,0.006,0.047,3081.32,0.18,130.0,False
69,10.0,13.0,19.0,0,100000,2.98,33,59,0,6,10,17,0.006,0.033,2163.48,0.13,130.0,False
70,10.0,13.0,1.0,0,100000,2.98,17444,10648,276,1,928,16515,0.001,17.444,1143628.64,11.44,130.0,False
71,10.0,13.0,20.0,0,100000,2.98,24,72,2,8,8,8,0.008,0.024,1573.44,0.13,130.0,False
72,10.0,13.0,2.0,0,100000,2.98,7241,4598,156,7,693,6541,0.007,7.241,474719.96,33.23,130.0,False
73,10.0,13.0,3.0,0,100000,2.98,3767,2346,74,16,532,3219,0.016,3.767,246964.52,39.51,130.0,False
74,10.0,13.0,4.0,0,100000,2.98,2235,1431,47,36,466,1733,0.036,2.235,146526.6,52.75,130.0,False
75,10.0,13.0,5.0,0,100000,2.98,1436,988,22,34,343,1059,0.034,1.436,94144.16,32.01,130.0,False
76,10.0,13.0,6.0,0,100000,2.98,976,661,16,36,252,688,0.036,0.976,63986.56,23.04,130.0,False
77,10.0,13.0,7.0,0,100000,2.98,712,540,13,36,226,450,0.036,0.712,46678.72,16.8,130.0,False
78,10.0,13.0,8.0,0,100000,2.98,551,437,12,33,178,340,0.033,0.551,36123.56,11.92,130.0,False
79,10.0,13.0,9.0,0,100000,2.98,400,316,8,35,146,219,0.035,0.4,26224.0,9.18,130.0,False
80,10.0,14.0,10.0,0,100000,2.98,281,243,13,30,114,137,0.03,0.281,18422.36,5.53,140.0,False
81,10.0,14.0,11.0,0,100000,2.98,234,212,3,32,90,112,0.032,0.234,15341.04,4.91,140.0,False
82,10.0,14.0,12.0,0,100000,2.98,180,184,2,19,69,92,0.019,0.18,11800.8,2.24,140.0,False
83,10.0,14.0,13.0,0,100000,2.98,119,161,7,20,51,48,0.02,0.119,7801.64,1.56,140.0,False
84,10.0,14.0,14.0,0,100000,2.98,114,117,3,19,37,58,0.019,0.114,7473.84,1.42,140.0,False
85,10.0,14.0,15.0,0,100000,2.98,72,105,2,15,19,38,0.015,0.072,4720.32,0.71,140.0,False
86,10.0,14.0,16.0,0,100000,2.98,60,85,3,15,24,21,0.015,0.06,3933.6,0.59,140.0,False
87,10.0,14.0,17.0,0,100000,2.98,58,91,0,7,24,27,0.007,0.058,3802.48,0.27,140.0,False
88,10.0,14.0,18.0,0,100000,2.98,43,57,1,10,17,16,0.01,0.043,2819.08,0.28,140.0,False
89,10.0,14.0,19.0,0,100000,2.98,37,68,2,8,19,10,0.008,0.037,2425.72,0.19,140.0,False
90,10.0,14.0,1.0,0,100000,2.98,17351,10754,321,1,933,16417,0.001,17.351,1137531.56,11.38,140.0,False
91,10.0,14.0,20.0,0,100000,2.98,26,53,1,3,10,13,0.003,0.026,1704.56,0.05,140.0,False
92,10.0,14.0,2.0,0,100000,2.98,7170,4546,162,6,746,6418,0.006,7.17,470065.2,28.2,140.0,False
93,10.0,14.0,3.0,0,100000,2.98,3612,2286,93,17,533,3062,0.017,3.612,236802.72,40.26,140.0,False
94,10.0,14.0,4.0,0,100000,2.98,2255,1400,34,33,464,1758,0.033,2.255,147837.8,48.79,140.0,False
95,10.0,14.0,5.0,0,100000,2.98,1472,945,20,36,349,1087,0.036,1.472,96504.32,34.74,140.0,False
96,10.0,14.0,6.0,0,100000,2.98,1002,672,12,42,290,670,0.042,1.002,65691.12,27.59,140.0,False
97,10.0,14.0,7.0,0,100000,2.98,765,523,13,50,244,471,0.05,0.765,50153.4,25.08,140.0,False
98,10.0,14.0,8.0,0,100000,2.98,535,417,15,34,169,332,0.034,0.535,35074.6,11.93,140.0,False
99,10.0,14.0,9.0,0,100000,2.98,419,307,16,40,130,249,0.04,0.419,27469.64,10.99,140.0,False
100,10.0,15.0,10.0,0,100000,2.98,324,261,4,28,119,177,0.028,0.324,21241.44,5.95,150.0,False
101,10.0,15.0,11.0,0,100000,2.98,241,193,7,37,86,118,0.037,0.241,15799.96,5.85,150.0,False
102,10.0,15.0,12.0,0,100000,2.98,197,172,2,37,73,87,0.037,0.197,12915.32,4.78,150.0,False
103,10.0,15.0,13.0,0,100000,2.98,148,146,3,17,60,71,0.017,0.148,9702.88,1.65,150.0,False
104,10.0,15.0,14.0,0,100000,2.98,108,140,4,16,41,51,0.016,0.108,7080.48,1.13,150.0,False
105,10.0,15.0,15.0,0,100000,2.98,85,116,5,19,28,38,0.019,0.085,5572.6,1.06,150.0,False
106,10.0,15.0,16.0,0,100000,2.98,70,117,3,10,30,30,0.01,0.07,4589.2,0.46,150.0,False
107,10.0,15.0,17.0,0,100000,2.98,62,86,1,14,24,24,0.014,0.062,4064.72,0.57,150.0,False
108,10.0,15.0,18.0,0,100000,2.98,41,67,0,8,16,17,0.008,0.041,2687.96,0.22,150.0,False
109,10.0,15.0,19.0,0,100000,2.98,32,74,0,4,8,20,0.004,0.032,2097.92,0.08,150.0,False
110,10.0,15.0,1.0,0,100000,2.98,17382,10694,303,1,881,16500,0.001,17.382,1139563.92,11.4,150.0,False
111,10.0,15.0,20.0,0,100000,2.98,23,60,0,3,9,11,0.003,0.023,1507.88,0.05,150.0,False
112,10.0,15.0,2.0,0,100000,2.98,7234,4674,149,8,794,6432,0.008,7.234,474261.04,37.94,150.0,False
113,10.0,15.0,3.0,0,100000,2.98,3835,2299,81,20,571,3244,0.02,3.835,251422.6,50.28,150.0,False
114,10.0,15.0,4.0,0,100000,2.98,2230,1460,41,24,435,1771,0.024,2.23,146198.8,35.09,150.0,False
115,10.0,15.0,5.0,0,100000,2.98,1476,895,25,48,332,1096,0.048,1.476,96766.56,46.45,150.0,False
116,10.0,15.0,6.0,0,100000,2.98,1031,716,24,39,302,690,0.039,1.031,67592.36,26.36,150.0,False
117,10.0,15.0,7.0,0,100000,2.98,675,533,27,55,196,424,0.055,0.675,44253.0,24.34,150.0,False
118,10.0,15.0,8.0,0,100000,2.98,527,417,7,49,174,304,0.049,0.527,34550.12,16.93,150.0,False
119,10.0,15.0,9.0,0,100000,2.98,423,319,5,44,143,236,0.044,0.423,27731.88,12.2,150.0,False
120,10.0,16.0,10.0,0,100000,2.98,329,268,7,38,128,163,0.038,0.329,21569.24,8.2,160.0,False
121,10.0,16.0,11.0,0,100000,2.98,223,231,5,18,78,127,0.018,0.223,14619.88,2.63,160.0,False
122,10.0,16.0,12.0,0,100000,2.98,175,189,3,20,66,89,0.02,0.175,11473.0,2.29,160.0,False
123,10.0,16.0,13.0,0,100000,2.98,147,148,4,20,47,80,0.02,0.147,9637.32,1.93,160.0,False
124,10.0,16.0,14.0,0,100000,2.98,108,139,4,23,29,56,0.023,0.108,7080.48,1.63,160.0,False
125,10.0,16.0,15.0,0,100000,2.98,86,102,2,11,36,39,0.011,0.086,5638.16,0.62,160.0,False
126,10.0,16.0,16.0,0,100000,2.98,68,108,5,5,32,31,0.005,0.068,4458.08,0.22,160.0,False
127,10.0,16.0,17.0,0,100000,2.98,41,96,3,9,15,17,0.009,0.041,2687.96,0.24,160.0,False
128,10.0,16.0,18.0,0,100000,2.98,37,77,0,8,12,17,0.008,0.037,2425.72,0.19,160.0,False
129,10.0,16.0,19.0,0,100000,2.98,42,81,0,8,15,19,0.008,0.042,2753.52,0.22,160.0,False
130,10.0,16.0,1.0,0,100000,2.98,17554,10452,307,1,903,16650,0.001,17.554,1150840.24,11.51,160.0,False
131,10.0,16.0,20.0,0,100000,2.98,24,57,4,4,11,9,0.004,0.024,1573.44,0.06,160.0,False
132,10.0,16.0,2.0,0,100000,2.98,7369,4631,142,11,728,6630,0.011,7.369,483111.64,53.14,160.0,False
133,10.0,16.0,3.0,0,100000,2.98,3639,2365,93,23,540,3076,0.023,3.639,238572.84,54.87,160.0,False
134,10.0,16.0,4.0,0,100000,2.98,2292,1471,45,35,466,1791,0.035,2.292,150263.52,52.59,160.0,False
135,10.0,16.0,5.0,0,100000,2.98,1417,969,28,34,351,1032,0.034,1.417,92898.52,31.59,160.0,False
136,10.0,16.0,6.0,0,100000,2.98,984,679,17,40,265,679,0.04,0.984,64511.04,25.8,160.0,False
137,10.0,16.0,7.0,0,100000,2.98,715,526,15,45,218,452,0.045,0.715,46875.4,21.09,160.0,False
138,10.0,16.0,8.0,0,100000,2.98,569,417,13,52,163,354,0.052,0.569,37303.64,19.4,160.0,False
139,10.0,16.0,9.0,0,100000,2.98,416,341,2,45,126,245,0.045,0.416,27272.96,12.27,160.0,False
140,10.0,17.0,10.0,0,100000,2.98,285,252,9,38,94,153,0.038,0.285,18684.6,7.1,170.0,False
141,10.0,17.0,11.0,0,100000,2.98,248,225,6,29,104,115,0.029,0.248,16258.88,4.72,170.0,False
142,10.0,17.0,12.0,0,100000,2.98,193,185,2,28,69,96,0.028,0.193,12653.08,3.54,170.0,False
143,10.0,17.0,13.0,0,100000,2.98,152,173,3,19,51,82,0.019,0.152,9965.12,1.89,170.0,False
144,10.0,17.0,14.0,0,100000,2.98,105,117,2,15,39,51,0.015,0.105,6883.8,1.03,170.0,False
145,10.0,17.0,15.0,0,100000,2.98,68,135,2,9,21,38,0.009,0.068,4458.08,0.4,170.0,False
146,10.0,17.0,16.0,0,100000,2.98,71,101,2,13,26,32,0.013,0.071,4654.76,0.61,170.0,False
147,10.0,17.0,17.0,0,100000,2.98,61,89,4,12,16,33,0.012,0.061,3999.16,0.48,170.0,False
148,10.0,17.0,18.0,0,100000,2.98,39,93,4,7,18,14,0.007,0.039,2556.84,0.18,170.0,False
149,10.0,17.0,19.0,0,100000,2.98,32,58,0,7,13,12,0.007,0.032,2097.92,0.15,170.0,False
150,10.0,17.0,1.0,0,100000,2.98,17652,10557,280,0,898,16754,0.0,17.652,1157265.12,0.0,170.0,False
151,10.0,17.0,20.0,0,100000,2.98,42,63,2,7,18,17,0.007,0.042,2753.52,0.19,170.0,False
152,10.0,17.0,2.0,0,100000,2.98,7265,4549,142,8,710,6547,0.008,7.265,476293.4,38.1,170.0,False
153,10.0,17.0,3.0,0,100000,2.98,3712,2416,81,18,533,3161,0.018,3.712,243358.72,43.8,170.0,False
154,10.0,17.0,4.0,0,100000,2.98,2130,1458,46,29,430,1671,0.029,2.13,139642.8,40.5,170.0,False
155,10.0,17.0,5.0,0,100000,2.98,1430,923,26,30,371,1029,0.03,1.43,93750.8,28.13,170.0,False
156,10.0,17.0,6.0,0,100000,2.98,996,649,17,53,256,687,0.053,0.996,65297.76,34.61,170.0,False
157,10.0,17.0,7.0,0,100000,2.98,719,513,10,29,231,459,0.029,0.719,47137.64,13.67,170.0,False
158,10.0,17.0,8.0,0,100000,2.98,553,412,8,35,193,325,0.035,0.553,36254.68,12.69,170.0,False
159,10.0,17.0,9.0,0,100000,2.98,428,327,14,39,143,246,0.039,0.428,28059.68,10.94,170.0,False
160,10.0,18.0,10.0,0,100000,2.98,343,252,7,40,117,186,0.04,0.343,22487.08,8.99,180.0,False
161,10.0,18.0,11.0,0,100000,2.98,253,227,7,29,99,125,0.029,0.253,16586.68,4.81,180.0,False
162,10.0,18.0,12.0,0,100000,2.98,191,211,3,28,79,84,0.028,0.191,12521.96,3.51,180.0,False
163,10.0,18.0,13.0,0,100000,2.98,151,156,4,23,57,71,0.023,0.151,9899.56,2.28,180.0,False
164,10.0,18.0,14.0,0,100000,2.98,119,129,4,22,36,61,0.022,0.119,7801.64,1.72,180.0,False
165,10.0,18.0,15.0,0,100000,2.98,75,107,2,13,31,31,0.013,0.075,4917.0,0.64,180.0,False
166,10.0,18.0,16.0,0,100000,2.98,67,98,0,13,22,32,0.013,0.067,4392.52,0.57,180.0,False
167,10.0,18.0,17.0,0,100000,2.98,42,95,0,10,14,18,0.01,0.042,2753.52,0.28,180.0,False
168,10.0,18.0,18.0,0,100000,2.98,41,71,1,6,13,22,0.006,0.041,2687.96,0.16,180.0,False
169,10.0,18.0,19.0,0,100000,2.98,24,68,0,2,7,15,0.002,0.024,1573.44,0.03,180.0,False
170,10.0,18.0,1.0,0,100000,2.98,17333,10647,325,0,938,16395,0.0,17.333,1136351.48,0.0,180.0,False
171,10.0,18.0,20.0,0,100000,2.98,27,71,0,5,15,7,0.005,0.027,1770.12,0.09,180.0,False
172,10.0,18.0,2.0,0,100000,2.98,7243,4575,149,5,689,6549,0.005,7.243,474851.08,23.74,180.0,False
173,10.0,18.0,3.0,0,100000,2.98,3713,2399,82,21,571,3121,0.021,3.713,243424.28,51.12,180.0,False
174,10.0,18.0,4.0,0,100000,2.98,2122,1452,53,28,437,1657,0.028,2.122,139118.32,38.95,180.0,False
175,10.0,18.0,5.0,0,100000,2.98,1457,933,28,34,324,1099,0.034,1.457,95520.92,32.48,180.0,False
176,10.0,18.0,6.0,0,100000,2.98,1033,682,15,41,306,686,0.041,1.033,67723.48,27.77,180.0,False
177,10.0,18.0,7.0,0,100000,2.98,694,452,13,42,216,436,0.042,0.694,45498.64,19.11,180.0,False
178,10.0,18.0,8.0,0,100000,2.98,540,383,9,39,176,325,0.039,0.54,35402.4,13.81,180.0,False
179,10.0,18.0,9.0,0,100000,2.98,410,318,17,40,140,230,0.04,0.41,26879.6,10.75,180.0,False
180,10.0,19.0,10.0,0,100000,2.98,302,278,7,42,103,157,0.042,0.302,19799.12,8.32,190.0,False
181,10.0,19.0,11.0,0,100000,2.98,252,252,1,36,91,125,0.036,0.252,16521.12,5.95,190.0,False
182,10.0,19.0,12.0,0,100000,2.98,184,206,3,30,70,84,0.03,0.184,12063.04,3.62,190.0,False
183,10.0,19.0,13.0,0,100000,2.98,132,143,9,26,51,55,0.026,0.132,8653.92,2.25,190.0,False
184,10.0,19.0,14.0,0,100000,2.98,123,111,5,18,49,56,0.018,0.123,8063.88,1.45,190.0,False
185,10.0,19.0,15.0,0,100000,2.98,96,113,1,15,36,45,0.015,0.096,6293.76,0.94,190.0,False
186,10.0,19.0,16.0,0,100000,2.98,78,99,1,18,23,37,0.018,0.078,5113.68,0.92,190.0,False
187,10.0,19.0,17.0,0,100000,2.98,56,84,3,11,19,26,0.011,0.056,3671.36,0.4,190.0,False
188,10.0,19.0,18.0,0,100000,2.98,41,65,3,6,20,15,0.006,0.041,2687.96,0.16,190.0,False
189,10.0,19.0,19.0,0,100000,2.98,34,95,1,3,13,18,0.003,0.034,2229.04,0.07,190.0,False
190,10.0,19.0,1.0,0,100000,2.98,17314,10679,307,0,833,16481,0.0,17.314,1135105.84,0.0,190.0,False
191,10.0,19.0,20.0,0,100000,2.98,20,63,1,4,8,8,0.004,0.02,1311.2,0.05,190.0,False
192,10.0,19.0,2.0,0,100000,2.98,7335,4492,170,1,676,6658,0.001,7.335,480882.6,4.81,190.0,False
193,10.0,19.0,3.0,0,100000,2.98,3758,2323,77,15,563,3180,0.015,3.758,246374.48,36.96,190.0,False
194,10.0,19.0,4.0,0,100000,2.98,2249,1459,50,29,456,1764,0.029,2.249,147444.44,42.76,190.0,False
195,10.0,19.0,5.0,0,100000,2.98,1415,898,30,32,339,1044,0.032,1.415,92767.4,29.69,190.0,False
196,10.0,19.0,6.0,0,100000,2.98,1024,694,23,46,288,690,0.046,1.024,67133.44,30.88,190.0,False
197,10.0,19.0,7.0,0,100000,2.98,782,459,15,43,249,490,0.043,0.782,51267.92,22.05,190.0,False
198,10.0,19.0,8.0,0,100000,2.98,526,387,13,38,159,329,0.038,0.526,34484.56,13.1,190.0,False
199,10.0,19.0,9.0,0,100000,2.98,397,319,11,39,143,215,0.039,0.397,26027.32,10.15,190.0,False
200,10.0,1.0,10.0,0,100000,2.98,123,212,4,0,3,120,0.0,0.123,8063.88,0.0,10.0,False
201,10.0,1.0,11.0,0,100000,2.98,82,185,2,0,2,80,0.0,0.082,5375.92,0.0,10.0,False
202,10.0,1.0,12.0,0,100000,2.98,59,158,2,0,1,58,0.0,0.059,3868.04,0.0,10.0,False
203,10.0,1.0,13.0,0,100000,2.98,44,137,2,0,0,44,0.0,0.044,2884.64,0.0,10.0,False
204,10.0,1.0,14.0,0,100000,2.98,36,97,0,0,1,35,0.0,0.036,2360.16,0.0,10.0,False
205,10.0,1.0,15.0,0,100000,2.98,20,86,2,0,0,20,0.0,0.02,1311.2,0.0,10.0,False
206,10.0,1.0,16.0,0,100000,2.98,21,76,3,0,1,20,0.0,0.021,1376.76,0.0,10.0,False
207,10.0,1.0,17.0,0,100000,2.98,15,54,1,0,0,15,0.0,0.015,983.4,0.0,10.0,False
208,10.0,1.0,18.0,0,100000,2.98,19,63,3,0,0,19,0.0,0.019,1245.64,0.0,10.0,False
209,10.0,1.0,19.0,0,100000,2.98,11,43,0,0,0,11,0.0,0.011,721.16,0.0,10.0,False
210,10.0,1.0,1.0,0,100000,2.98,17017,10648,292,0,595,16422,0.0,17.017,1115634.52,0.0,10.0,False
211,10.0,1.0,20.0,0,100000,2.98,8,40,0,0,1,7,0.0,0.008,524.48,0.0,10.0,False
212,10.0,1.0,2.0,0,100000,2.98,6669,4427,121,0,276,6393,0.0,6.669,437219.64,0.0,10.0,False
213,10.0,1.0,3.0,0,100000,2.98,3274,2276,58,0,196,3078,0.0,3.274,214643.44,0.0,10.0,False
214,10.0,1.0,4.0,0,100000,2.98,1673,1300,39,0,97,1576,0.0,1.673,109681.88,0.0,10.0,False
215,10.0,1.0,5.0,0,100000,2.98,964,870,21,1,41,922,0.001,0.964,63199.84,0.63,10.0,False
216,10.0,1.0,6.0,0,100000,2.98,623,594,13,0,33,590,0.0,0.623,40843.88,0.0,10.0,False
217,10.0,1.0,7.0,0,100000,2.98,398,448,10,0,13,385,0.0,0.398,26092.88,0.0,10.0,False
218,10.0,1.0,8.0,0,100000,2.98,253,381,6,0,8,245,0.0,0.253,16586.68,0.0,10.0,False
219,10.0,1.0,9.0,0,100000,2.98,183,287,7,0,6,177,0.0,0.183,11997.48,0.0,10.0,False
220,10.0,20.0,10.0,0,100000,2.98,290,286,7,40,95,155,0.04,0.29,19012.4,7.6,200.0,False
221,10.0,20.0,11.0,0,100000,2.98,229,205,4,25,74,130,0.025,0.229,15013.24,3.75,200.0,False
222,10.0,20.0,12.0,0,100000,2.98,175,182,5,24,82,69,0.024,0.175,11473.0,2.75,200.0,False
223,10.0,20.0,13.0,0,100000,2.98,139,142,5,23,50,66,0.023,0.139,9112.84,2.1,200.0,False
224,10.0,20.0,14.0,0,100000,2.98,104,130,4,16,37,51,0.016,0.104,6818.24,1.09,200.0,False
225,10.0,20.0,15.0,0,100000,2.98,89,126,3,11,37,41,0.011,0.089,5834.84,0.64,200.0,False
226,10.0,20.0,16.0,0,100000,2.98,74,104,2,17,30,27,0.017,0.074,4851.44,0.82,200.0,False
227,10.0,20.0,17.0,0,100000,2.98,49,85,1,12,20,17,0.012,0.049,3212.44,0.39,200.0,False
228,10.0,20.0,18.0,0,100000,2.98,40,89,1,9,18,13,0.009,0.04,2622.4,0.24,200.0,False
229,10.0,20.0,19.0,0,100000,2.98,28,64,1,6,9,13,0.006,0.028,1835.68,0.11,200.0,False
230,10.0,20.0,1.0,0,100000,2.98,17419,10615,286,1,917,16501,0.001,17.419,1141989.64,11.42,200.0,False
231,10.0,20.0,20.0,0,100000,2.98,32,73,2,7,11,14,0.007,0.032,2097.92,0.15,200.0,False
232,10.0,20.0,2.0,0,100000,2.98,7394,4618,142,11,714,6669,0.011,7.394,484750.64,53.32,200.0,False
233,10.0,20.0,3.0,0,100000,2.98,3836,2341,79,18,553,3265,0.018,3.836,251488.16,45.27,200.0,False
234,10.0,20.0,4.0,0,100000,2.98,2282,1401,41,26,437,1819,0.026,2.282,149607.92,38.9,200.0,False
